Sample_ID,Bioproject,Name,Name_cn,Number of one seed per pod,Ratio of one seed per pod,Number of two seed per pod,Ratio of two seed per pod,Number of three seed per pod,Ratio of three seed per pod,Number of four seed per pod,Ratio of four seed per pod,L_Ala content,L_Asp/Asn content,Beginning bloom date,Beginning pod date,Branch pod number,Chlorophyll content,FA16 content,FA16 ratio,FA18 content,FA18 ratio,FA18_1 content,FA18_1 ratio,FA18_2 content,FA18_2 ratio,FA18_3 content,FA18_3 ratio,FA content,Full bloom date,Flower color,Full pod date,L_Glu/Gln content,L_Gly content,Hilum color,Height of the lowest pod,100-seed weight(g),L_Ile content,Last bloom date,Leaf length,Lodging,Leaf shape,Leaf width,L_Leu content,L_Lys content,Pod maturity date,Branch shape,Pubescence color,Pod density,Podding habit,Plant height,Protein content,Pod shattering,Plant weight,L_Phe content,Seed brightness,Seed coat color,Seed length,Seedling date,Stem node number,Stem pod number,Sterial pod number,Seed shape,Seed thickness,Stem diameter,Stem shape,Seed width,Seed weight per plant,L_Ser content,Total pod number,Total seed number,L_Thr content,L_Tyr content,Valid branch number,L_Val content,Branch node number,Chlorophyll content(last bloom),Chlorophyll content(full bloom),Invalid branch number,Leaf color,Leaf length(before bloom),Leaf length(last bloom),Leaf length(full bloom),Leaf width(before bloom),Leaf width(full bloom),Leaf width(last bloom),Nodule number,Overground biomass,Pod color,Pod damaged by insect,Seedling color,Soybean mosaic virus,Hilum diffusion,Plant stem weight,Seed damaged by insect,As75 content,B11 content,Ca43 content,Cd114 content,Co59 content,Cr52 content,Cu65 content,Fe57 content,K39 content,Mg25 content,Mn55 content,Na23 content,Ni60 content,P31 content,Pb208 content,Resistance to cyst nematode 3,Resistance to cyst nematode 4,Rb85 content,S34 content,Se82 content,Sr88 content,Ti47 content,Zn66 content,Treatment,Years,Region,Region_cn
SRR1533313,PRJNA257011,PI 548488,-,26,0.268041,52,0.536082,19,0.195876,0,0,,,59,61,,37.45,,,,,,,,,,,,64,1,69,,,,,17.06,,,,,3,,,,,,1,,,131.1,,,60.12,,,,,7,,,2,,,0.916,,,23.76,,97,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Shan Xi,山西省
SRR1533313,PRJNA257011,PI 548488,-,26,0.0918728,118.667,0.419317,138.333,0.48881,0,0,17.9578,43.4478,61,,209.667,36.5667,27.1481,0.130073,6.72891,0.0322399,38.3204,0.183602,119.536,0.572726,16.9806,0.0813584,208.714,64,1,,81.0271,16.6438,3,6.63333,15.1566,16.8716,84,9.5,2,3,6.26667,29.6905,27.6628,155,2,1,2.5,1,154.7,340.553,1,,21.2899,2,1,6.784,,29.3333,73.3333,,1,6.202,,3,5.286,,22.5369,283,678.333,16.5904,10.9252,5.66667,16.1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
SRR1533314,PRJNA257011,PI 603318,-,40,0.481928,28,0.337349,15,0.180723,0,0,,,46,49,,25.7,,,,,,,,,,,,53,1,56,,,,,17.36,,,,,3,,,,,,1,,,40.2,,,42.62,,,,,16,,,4,,,0.692,,,23.51,,83,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Shan Xi,山西省
SRR1533314,PRJNA257011,PI 603318,-,23.3333,0.220126,46.6667,0.440252,36,0.339623,0,0,19.9888,43.4436,39,,92.3333,33.6333,23.8347,0.0996095,8.20059,0.0342717,59.4008,0.248247,131.83,0.550941,16.0153,0.066931,239.281,43,1,,90.6384,14.9333,3,6.66667,15.0764,19.3493,50,8.93333,4,3,6.53333,32.188,24.0221,121,1,1,1.05128,2,52.7333,355.712,1,,20.3452,3,1,8.786,,13,13.6667,,3,6.112,,3,5.146,,26.7302,106,224.667,16.8271,11.1663,6.33333,16.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
CRR107035,PRJCA002030,Peking,-,27,0.191489,97,0.687943,17,0.120567,0,0,,,70,72,,34.5,,,,,,,,,,,,74,1,78,,,,,11.78,,,,,3,,,,,,2,,,82.9,,,91.69,,,,,12,,,1,,,1.018,,,34.89,,141,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Shan Xi,山西省
CRR107035,PRJCA002030,Peking,-,59.3333,0.178357,213.667,0.642285,59,0.177355,0.666667,0.00200401,19.7293,47.4693,77,,258,36.8,24.3383,0.149891,4.11334,0.0253326,23.5894,0.145279,91.8378,0.565597,18.4943,0.1139,162.373,81,1,,82.0844,18.645,4,8.56667,9.765,19.3124,92,10.3667,3,3,7.76667,32.7957,30.9629,148,2,2,2.98667,3,111.733,366.116,2,,23.763,3,3,7.474,,25,74.6667,,3,5.284,,1,3.47,,21.7575,332.667,666.333,18.1016,11.095,8.66667,19.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
SRR1533315,PRJNA257011,Hei He Xiao Huang Dou,黑河小黄豆,9.33333,0.21374,22.6667,0.519084,11.6667,0.267176,0,0,,,38,,,36.7667,,,,,,,,,,,,39,2,,,,2,7.43333,15.7138,,50,7,2,3,5.26667,,,80,3,1,,3,45.4333,,1,,,2,1,8.062,,12.6667,,,3,5.974,,1,5.036,,,43.6667,89.6667,,,2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
CRR107047,PRJCA002030,FC 1547,-,33,0.232394,75,0.528169,33,0.232394,1,0.00704225,,,34,39,,36.3,,,,,,,,,,,,45,1,49,,,,,12.66,,,,,3,,,,,,1,,,52.3,,,63.44,,,,,17,,,0,,,0.864,,,33.21,,142,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Shan Xi,山西省
CRR107047,PRJCA002030,FC 1547,-,15.6667,0.107798,53,0.364679,76.3333,0.525229,0.333333,0.00229358,,,,,67.3333,,,,,,,,,,,,,,,,,,2,4.83333,,,,,,,,,,,,,4.5,,65.7333,,1,,,3,1,,,17.3333,78,,3,,,,,,,145.333,352,,,3.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
CRR107069,PRJCA002030,Man Gui Dou,满归豆,3,0.0891089,10.3333,0.306931,14,0.415842,6.33333,0.188119,,,,,,,,,,,,,,,,,,,,,,,3,8.03333,,,,,,,,,,,,,,,36.9,,1,,,2,1,,,11.6667,,,3,,,,,,,33.6667,91,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
SRR1533318,PRJNA257011,Da Li Huang -2,大粒黄 (2),25.3333,0.157025,81.6667,0.506198,54.3333,0.336777,0,0,17.2573,46.5064,61,,121.333,32.6667,24.1969,0.121992,6.42456,0.0323903,47.1264,0.237594,105.167,0.530214,15.4333,0.0778091,198.348,64,1,,78.1458,16.9741,4,7.83333,20.7976,17.1086,71,11.1667,4,3,8.1,30.2908,31.9589,155,2,2,1.64384,1,121.233,347.68,1,,22.6822,2,1,7.76,,24.3333,40,,3,6.514,,3,5.634,,22.7088,161.333,351.667,16.6011,12.3808,6.33333,15.8061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
CRR107076,PRJCA002030,Si Xian Tu Li Wai,泗县土里歪,49,0.569767,31,0.360465,6,0.0697674,0,0,,,,,,30.4,,,,,,,,,,,,,,,,,,,17.22,,,,,3,,,,,,1,,,66.1,,,88.68,,,,,17,,,6,,,1.098,,,23.7,,86,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Shan Xi,山西省
CRR107076,PRJCA002030,Si Xian Tu Li Wai,泗县土里歪,43.3333,0.222985,86,0.442539,65,0.334477,0,0,18.7268,50.1835,77,,164,34.4,22.2407,0.11887,4.83456,0.0258392,39.3967,0.210563,105.298,0.562783,15.3318,0.081944,187.102,81,2,,80.1715,18.7814,4,4.83333,17.3888,19.5792,92,7.83333,2,3,6.1,32.8195,35.6025,149,2,1,1.51667,3,71.1667,372.557,2,,24.569,1,1,7.546,,20,30.3333,,3,6.402,,1,5.246,,21.4989,194.333,410.333,16.7427,12.9495,7,19.8107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
CRR107078,PRJCA002030,Sui Xi Wan Dou Tuan,濉溪豌豆团,25.3333,0.169265,104,0.694878,20.3333,0.135857,0,0,,,66,,119.667,36.2667,,,,,,,,,,,,71,1,,,,3,5.63333,,,81,8.8,3,3,6.13333,,,168,2,1,1.28571,1,111.067,,1,,,1,1,,,23.3333,30,,3,,,3,,,,149.667,294.333,,,3.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
SRR1533319,PRJNA257011,PI 587752,-,50,0.617284,28,0.345679,3,0.037037,0,0,,,,,,31.4,,,,,,,,,,,,,,,,,,,12.14,,,,,3,,,,,,1,,,92.1,,,46.1,,,,,17,,,3,,,0.708,,,14.54,,81,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Shan Xi,山西省
SRR1533319,PRJNA257011,PI 587752,-,27,0.165984,123,0.756148,12.6667,0.0778688,0,0,18.1807,48.5089,92,,129.333,32.9667,23.723,0.122792,5.50076,0.0284724,27.111,0.140329,116.407,0.602533,20.4542,0.105873,193.196,98,1,,89.5661,17.809,3,6.5,11.8228,17.7747,106,8.86667,4,3,6.33333,31.4596,31.6588,162,2,1,1.25,1,136.7,368.415,1,,23.3442,1,1,6.04,,26.6667,33.3333,,1,5.482,,3,4.96,,23.1977,162.667,311,16.7626,12.6249,7,16.5918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
CRR107081,PRJCA002030,Bo Xian Qian Jin Dou,亳县千斤豆,31.3333,0.33935,58.3333,0.631769,2.66667,0.0288809,0,0,,,84,,72.6667,39.1333,,,,,,,,,,,,92,1,,,,4,5.83333,27.4084,,98,9.23333,3,3,7.13333,,,168,2,2,0.842857,1,119.267,,1,,,1,1,7.82,,23.3333,19.6667,,1,7.232,,3,6.194,,,92.3333,156,,,7.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
SRR1533320,PRJNA257011,PI 587848,-,32,0.64,18,0.36,0,0,0,0,,,64,72,,36.8,,,,,,,,,,,,74,2,78,,,,,24.64,,,,,3,,,,,,2,,,96.2,,,56.83,,,,,13,,,3,,,0.988,,,15.7,,50,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Shan Xi,山西省
SRR1533320,PRJNA257011,PI 587848,-,33.6667,0.362007,57.3333,0.616487,2,0.0215054,0,0,17.4961,50.6902,77,,72.6667,39.4333,24.101,0.121961,5.84467,0.0295764,39.2261,0.1985,111.725,0.565372,16.7164,0.0845915,197.613,81,2,,91.883,17.3266,3,4.8,21.2156,17.0957,98,9,4,3,6,30.3281,35.7298,162,2,2,0.792208,1,128.733,376,1,,24.883,1,4,7.826,,25.6667,20.3333,,1,7.118,,3,6.09,,23.143,93,154.333,16.9201,14.1395,6.66667,16.6388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
CRR107092,PRJCA002030,Sha He Qing Dou,沙河青豆,55,0.454545,58,0.479339,8,0.0661157,0,0,,,56,60,,32.55,,,,,,,,,,,,63,2,66,,,,,20.64,,,,,3,,,,,,2,,,78.2,,,103.28,,,,,14,,,2,,,1.07,,,30.08,,121,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Shan Xi,山西省
CRR107092,PRJCA002030,Sha He Qing Dou,沙河青豆,11.3333,0.0670611,86,0.508876,71.6667,0.424063,0,0,19.2857,49.6107,59,,138.333,40,22.9376,0.120583,5.23901,0.0275414,43.1646,0.226916,107.209,0.563598,11.6723,0.0613611,190.223,61,2,,86.1531,18.8248,4,4.63333,20.3996,20.0213,71,11,4,3,7.93333,33.2873,34.0329,149,2,2,1.16456,1,110.567,378.559,1,,24.3425,1,2,8.384,,26.3333,30.6667,,3,7.174,,3,5.558,,22.0364,169,398.333,17.0802,12.5704,7,19.3992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
CRR107094,PRJCA002030,Tong Xian Xiao Huang Dou,通县小黄豆,33,0.326733,50,0.49505,17,0.168317,1,0.00990099,,,57,60,,32.45,,,,,,,,,,,,63,2,66,,,,,19.64,,,,,3,,,,,,1,,,55.3,,,66.73,,,,,8,,,5,,,0.92,,,34.43,,101,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Shan Xi,山西省
CRR107094,PRJCA002030,Tong Xian Xiao Huang Dou,通县小黄豆,12.6667,0.0606061,145,0.69378,50.6667,0.242424,0.666667,0.00318979,,,57,,174.667,34.3,,,,,,,,,,,,59,2,,,,3,6.43333,,,64,8.26667,2,3,6.33333,,,116,2,1,1.9434,3,73.1,,1,,,3,1,,,17.6667,34.3333,,3,,,1,,,,209,457.333,,,10.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
SRR1533321,PRJNA257011,Dai Mi Dou,代米豆,61.6667,0.367793,102.333,0.610338,3.66667,0.0218688,0,0,16.6167,41.7916,77,,139.667,40.5333,18.0279,0.106885,5.08139,0.0301267,28.5334,0.16917,98.8903,0.586303,18.1345,0.107516,168.668,81,2,,69.6243,16.9607,3,4.66667,9.7552,15.9386,92,8.8,3,3,6.03333,27.6831,27.935,168,2,1,1.03704,1,133.2,317.629,1,,20.7617,2,5,5.974,,27,28,,1,5.502,,3,4.388,,20.5511,167.667,277.333,15.5932,11.0002,4.66667,15.3177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Bei Jing,北京市
