Sample_ID,Bioproject,Name_cn,Name,Whiteness_Degree_of_Complete_Grain(%),Whiteness_Degree_of_Dead_Grain(%),Amylose_Content_of_Grain(%),Protein_Content_of_Grain(%),Taste_Score_of_Cooked_Grain,Water_Content_of_Grain,Awn_Length(cm),Grain_Length(mm),Grain_Width(mm),Grain_Thickness(mm),1000_Grain_Weight(g),"Heading_Date(50%,days)",Flag_Leaf_Length(cm),Flag_Leaf_Width(cm),Leaf_Blade_Width(cm),Leaf_Sheath_Color,Plant_Height(cm),Panicle_Length(cm),Culm_Length(cm),SPAD_Value_of_Flag_Leaf,Tiller_Number_per_Plant(num),Blighted_Grains_per_Plant(num),Blighted_Grains_per_Panicle(num),Blighted_Grains_Weight_per_Plant(g),Filled_Grains_per_Plant(num),Filled_Grains_per_Panicle(num),Filled_Grains_Weight_per_Plant(g),Grain_Number_per_Panicle(num),Seed_Setting_Rate(%),Grain_Yield_per_Plant(g),Panicle_Number_per_Plant(num),Number_of_Productive_Panicle_per_Plant(num),Panicle_Weight(g),Spikelet_Number_per_Panicle(num),Panicle_Weight_per_Plant(g),Yield_per_Plant(g),Cd_concentration,Treatment,Years,Region
SAMC008074,PRJCA000322,桂花黄,GuiHuaHuang,,,,,,,,7.2,3.2,,23.5,134,,,,,117,,,,12,,,,,,,,,30.1,,,,,,,,,2015,Beijing
SAMC008075,PRJCA000322,盐粳4号,YanGeng4Hao,,,,,,,,6.7,3.1,,17.7,130,,,,,98,,,,10,,,,,,,,,21.5,,,,,,,,,2015,Beijing
SAMC008077,PRJCA000322,2428,2428,,,,,,,,6.6,3.6,,22.3,117,,,,,95,,,,6,,,,,,,,,14.9,,,,,,,,,2015,Beijing
SAMC008078,PRJCA000322,盐粳8号,YanGeng8Hao,,,,,,,,7,3.1,,22.9,121,,,,,118,,,,7,,,,,,,,,16.9,,,,,,,,,2015,Beijing
SAMC008079,PRJCA000322,老来青,LaoLaiQing,,,,,,,,,,,,147,,,,,140,,,,14,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008080,PRJCA000322,八五三,BaWuSan,,,,,,,,,,,,145,,,,,124,,,,6,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008081,PRJCA000322,单8,Dan8,,,,,,,,,,,,142,,,,,100,,,,11,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008082,PRJCA000322,早单八,ZaoDan8,,,,,,,,7.1,3.4,,17.7,141,,,,,98,,,,11,,,,,,,,,27.2,,,,,,,,,2015,Beijing
SAMC008083,PRJCA000322,太湖粳1号,TaiHuGeng1Hao,,,,,,,,6.8,3.3,,16.9,145,,,,,112,,,,,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008084,PRJCA000322,秀水122,XiuShui122,,,,,,,,6.9,3.1,,18.8,137,,,,,108,,,,14,,,,,,,,,28.8,,,,,,,,,2015,Beijing
SAMC008085,PRJCA000322,苏丰粳1号,SuFengGeng1Hao,,,,,,,,7.1,3.3,,20.2,135,,,,,100,,,,13,,,,,,,,,35.4,,,,,,,,,2015,Beijing
SAMC008086,PRJCA000322,武粳4号,WuGeng4Hao,,,,,,,,7,3.3,,23.1,131,,,,,99,,,,11,,,,,,,,,31.1,,,,,,,,,2015,Beijing
SAMC008087,PRJCA000322,泗稻10号,SiDao10Hao,,,,,,,,7.3,3.2,,25.5,123,,,,,88,,,,10,,,,,,,,,17.8,,,,,,,,,2015,Beijing
SAMC008088,PRJCA000322,镇稻4号,ZhenDao4Hao,,,,,,,,7,3.3,,21.6,139,,,,,99,,,,4,,,,,,,,,11.3,,,,,,,,,2015,Beijing
SAMC008090,PRJCA000322,通粳109,TongGeng109,,,,,,,,7.2,3.3,,25.7,131,,,,,101,,,,7,,,,,,,,,18.5,,,,,,,,,2015,Beijing
SAMC008091,PRJCA000322,香粳111,XiangGeng111,,,,,,,,7.1,3.3,,25.6,131,,,,,95,,,,8,,,,,,,,,22.9,,,,,,,,,2015,Beijing
SAMC008092,PRJCA000322,镇香粳5号(盛）,ZhenXiangGeng5Hao,,,,,,,,6.9,3.1,,23.6,127,,,,,106,,,,8,,,,,,,,,23,,,,,,,,,2015,Beijing
SAMC008095,PRJCA000322,农垦57,NongKen57,,,,,,,,7.1,3.1,,23.6,124,,,,,110,,,,10,,,,,,,,,27.5,,,,,,,,,2015,Beijing
SAMC008097,PRJCA000322,南粳39,NanGeng39,,,,,,,,6.7,3.3,,20.3,131,,,,,98,,,,11,,,,,,,,,24.6,,,,,,,,,2015,Beijing
SAMC008098,PRJCA000322,武运粳11号,WuYunGeng11Hao,,,,,,,,7.2,3.4,,25.9,131,,,,,102,,,,7,,,,,,,,,25.5,,,,,,,,,2015,Beijing
SAMC008099,PRJCA000322,镇稻8号,ZhenDao8Hao,,,,,,,,7,3.2,,22.1,131,,,,,100,,,,9,,,,,,,,,21.8,,,,,,,,,2015,Beijing
SAMC008100,PRJCA000322,南粳40,NanGeng40,,,,,,,,7.2,3.3,,24.8,133,,,,,101,,,,7,,,,,,,,,19.4,,,,,,,,,2015,Beijing
SAMC008101,PRJCA000322,华粳1号,HuaGeng1Hao,,,,,,,,7.3,3.1,,19.9,135,,,,,101,,,,11,,,,,,,,,27.3,,,,,,,,,2015,Beijing
SAMC008102,PRJCA000322,广陵香粳,GuangLingXiangGeng,,,,,,,,6.9,3.2,,21.6,135,,,,,98,,,,20,,,,,,,,,56.6,,,,,,,,,2015,Beijing
SAMC008103,PRJCA000322,通育粳1号,TongYuGeng1Hao,,,,,,,,7.2,3.2,,23.1,139,,,,,97,,,,9,,,,,,,,,23.8,,,,,,,,,2015,Beijing
