Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,Unnamed: 22,Treatment,Years,location,Region_cn,Region
Dong46,PRJNA609577,Dong46,-,5.0,14.0,48.0,149.0,51.4,34.5,9.5,63.5,25.5,10.4,155.0,29.2,,,,,,,,,2016,HaiNan Province,海南省,Hainan
K10,PRJNA609577,K10,-,5.0,15.0,48.0,162.6,30.2,18.6,9.2,71.7,30.5,7.3,150.8,31.0,,,,,,,,,2016,HaiNan Province,海南省,Hainan
3IBZ2,PRJNA609577,3IBZ2,-,4.7,13.3,45.0,142.6,32.2,22.6,7.1,64.8,29.7,5.7,134.2,54.5,,,,,,,,,2016,HaiNan Province,海南省,Hainan
Lx9801,PRJNA609577,Lx9801,-,5.5,18.0,55.0,215.4,65.4,30.4,9.5,74.0,36.2,8.5,164.8,21.7,,,,,,,,,2016,HaiNan Province,海南省,Hainan
444,PRJNA609577,444,-,5.0,16.0,55.0,130.0,40.0,30.8,9.6,63.0,33.3,10.0,153.5,30.0,,,,,,,,,2016,HaiNan Province,海南省,Hainan
Jing7,PRJNA609577,Jing7,-,4.0,17.0,52.0,116.5,29.0,24.9,7.6,70.0,30.3,6.5,161.0,22.6,,,,,,,,,2016,HaiNan Province,海南省,Hainan
Ji853,PRJNA609577,Ji853,-,5.0,14.0,53.0,202.4,60.0,29.6,7.3,69.6,30.8,5.0,134.6,48.3,,,,,,,,,2016,HaiNan Province,海南省,Hainan
Tangsipingtou,PRJNA609577,Tangsipingtou,-,4.7,18.0,57.0,164.5,71.3,43.3,8.2,51.0,27.4,12.0,151.9,29.5,,,,,,,,,2016,HaiNan Province,海南省,Hainan
196,PRJNA609577,196,-,5.0,15.7,49.0,151.2,47.4,31.3,9.0,64.0,27.3,4.7,167.6,16.5,,,,,,,,,2016,HaiNan Province,海南省,Hainan
NS501,PRJNA609577,NS501,-,5.7,16.0,50.0,150.2,47.6,31.7,6.7,57.2,26.9,8.6,,,,,,,,,,,2016,HaiNan Province,海南省,Hainan
Ji846,PRJNA609577,Ji846,-,6.0,18.0,64.0,175.0,61.2,35.0,9.6,63.5,31.6,9.0,130.4,49.6,,,,,,,,,2016,HaiNan Province,海南省,Hainan
P138,PRJNA609577,P138,-,4.7,16.7,56.0,154.8,61.6,39.8,9.5,65.4,28.5,5.3,140.1,40.9,,,,,,,,,2016,HaiNan Province,海南省,Hainan
Shen137,PRJNA609577,Shen137,-,4.8,16.0,54.0,158.0,56.0,35.4,9.2,71.6,29.7,11.2,155.5,29.9,,,,,,,,,2016,HaiNan Province,海南省,Hainan
Qi319,PRJNA609577,Qi319,-,4.5,14.0,57.0,152.8,46.2,30.2,8.1,79.0,32.1,9.6,150.5,31.0,,,,,,,,,2016,HaiNan Province,海南省,Hainan
698_3,PRJNA609577,698_3,-,5.7,18.0,59.0,165.4,50.8,30.7,9.4,74.6,28.5,5.8,160.7,21.6,,,,,,,,,2016,HaiNan Province,海南省,Hainan
Longkang11,PRJNA609577,Longkang11,-,5.3,15.3,54.0,150.6,42.6,28.3,8.2,58.6,32.5,7.8,140.2,43.1,,,,,,,,,2016,HaiNan Province,海南省,Hainan
Huobai,PRJNA609577,Huobai,-,5.5,17.0,52.0,167.2,64.5,38.6,6.8,65.4,27.8,10.7,143.2,39.1,,,,,,,,,2016,HaiNan Province,海南省,Hainan
9058,PRJNA609577,9058,-,5.4,16.0,54.0,167.2,45.4,27.2,9.6,68.2,27.1,8.7,164.6,18.4,,,,,,,,,2016,HaiNan Province,海南省,Hainan
FBLA,PRJNA609577,FBLA,-,6.5,18.0,52.0,185.2,50.2,27.1,8.1,69.6,25.1,5.4,143.6,39.6,,,,,,,,,2016,HaiNan Province,海南省,Hainan
Huotanghuang17,PRJNA609577,Huotanghuang17,-,5.0,12.0,61.0,83.5,19.5,23.4,6.7,42.0,18.5,1.5,129.8,49.6,,,,,,,,,2016,HaiNan Province,海南省,Hainan
7884_7Ht,PRJNA609577,7884_7Ht,-,5.0,17.2,56.0,137.6,48.6,35.3,9.4,62.4,30.7,3.8,149.1,32.9,,,,,,,,,2016,HaiNan Province,海南省,Hainan
81162,PRJNA609577,81162,-,4.7,15.3,61.0,89.2,28.6,32.1,8.4,52.5,17.6,3.5,158.0,24.4,,,,,,,,,2016,HaiNan Province,海南省,Hainan
