Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,,Treatment,Years,location,Region_cn
Dong46,PRJNA609577,Dong46,-,5,14,48,149,51.4,34.5,9.5,63.5,25.5,10.4,155,29.2,,,,,,,,,2016,HaiNan Province,海南省
K10,PRJNA609577,K10,-,5,15,48,162.6,30.2,18.6,9.2,71.7,30.5,7.3,150.8,31,,,,,,,,,2016,HaiNan Province,海南省
3IBZ2,PRJNA609577,3IBZ2,-,4.7,13.3,45,142.6,32.2,22.6,7.1,64.8,29.7,5.7,134.2,54.5,,,,,,,,,2016,HaiNan Province,海南省
Lx9801,PRJNA609577,Lx9801,-,5.5,18,55,215.4,65.4,30.4,9.5,74,36.2,8.5,164.8,21.7,,,,,,,,,2016,HaiNan Province,海南省
444,PRJNA609577,444,-,5,16,55,130,40,30.8,9.6,63,33.3,10,153.5,30,,,,,,,,,2016,HaiNan Province,海南省
Jing7,PRJNA609577,Jing7,-,4,17,52,116.5,29,24.9,7.6,70,30.3,6.5,161,22.6,,,,,,,,,2016,HaiNan Province,海南省
Ji853,PRJNA609577,Ji853,-,5,14,53,202.4,60,29.6,7.3,69.6,30.8,5,134.6,48.3,,,,,,,,,2016,HaiNan Province,海南省
Tangsipingtou,PRJNA609577,Tangsipingtou,-,4.7,18,57,164.5,71.3,43.3,8.2,51,27.4,12,151.9,29.5,,,,,,,,,2016,HaiNan Province,海南省
196,PRJNA609577,196,-,5,15.7,49,151.2,47.4,31.3,9,64,27.3,4.7,167.6,16.5,,,,,,,,,2016,HaiNan Province,海南省
NS501,PRJNA609577,NS501,-,5.7,16,50,150.2,47.6,31.7,6.7,57.2,26.9,8.6,,,,,,,,,,,2016,HaiNan Province,海南省
Ji846,PRJNA609577,Ji846,-,6,18,64,175,61.2,35,9.6,63.5,31.6,9,130.4,49.6,,,,,,,,,2016,HaiNan Province,海南省
P138,PRJNA609577,P138,-,4.7,16.7,56,154.8,61.6,39.8,9.5,65.4,28.5,5.3,140.1,40.9,,,,,,,,,2016,HaiNan Province,海南省
Shen137,PRJNA609577,Shen137,-,4.8,16,54,158,56,35.4,9.2,71.6,29.7,11.2,155.5,29.9,,,,,,,,,2016,HaiNan Province,海南省
Qi319,PRJNA609577,Qi319,-,4.5,14,57,152.8,46.2,30.2,8.1,79,32.1,9.6,150.5,31,,,,,,,,,2016,HaiNan Province,海南省
698_3,PRJNA609577,698_3,-,5.7,18,59,165.4,50.8,30.7,9.4,74.6,28.5,5.8,160.7,21.6,,,,,,,,,2016,HaiNan Province,海南省
Longkang11,PRJNA609577,Longkang11,-,5.3,15.3,54,150.6,42.6,28.3,8.2,58.6,32.5,7.8,140.2,43.1,,,,,,,,,2016,HaiNan Province,海南省
Huobai,PRJNA609577,Huobai,-,5.5,17,52,167.2,64.5,38.6,6.8,65.4,27.8,10.7,143.2,39.1,,,,,,,,,2016,HaiNan Province,海南省
